name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Harlequin,27 Arlington Way,London,Finsbury,E09000019,Islington,,E05000370,Clerkenwell,,-0.10610658511907134,51.53011014612802,531468.8055728163,182944.2694294614,08/25/2019
Peasant,240 St John Street,London,Finsbury,E09000019,Islington,,E05000370,Clerkenwell,,-0.1032631025020614,51.52602647776972,531677.8032139972,182495.26061975327,08/25/2019
Blues Kitchen,134 Curtain Road,London,Shoreditch,E09000012,Hackney,,E05009377,Hoxton East & Shoreditch,,-0.07997231300011513,51.52656454334939,533291.8353968068,182597.23334322713,08/25/2019
Caraway Lounge,290 North Street,Romford,,E09000016,Havering,,E05000306,Brooklands,,0.17274672543277814,51.585186745646936,550627.8712056858,189606.3078209457,08/25/2019
Rye,31 Peckham Rye,Peckham,London,E09000028,Southwark,,E05011113,Rye Lane,,-0.06539738721431776,51.464652411797815,534484.7950557634,175739.0918689295,08/25/2019
Eleven,5 Fernlea Road,Balham,,E09000032,Wandsworth,,E05000610,Balham,,-0.14826945321323656,51.44285263704494,528789.7884998354,173166.0851766722,08/25/2019
Royal,Boston Road,Hanwell,,E09000009,Ealing,,E05000182,Northfield,,-0.32656310813794753,51.49829164143888,516258.52621707466,179033.09244053916,08/25/2019
Bitter End Bar,139 Masons Hill,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.02524008403156215,51.39620557790606,540990.8080613733,168298.0315933384,08/25/2019
Hope,3 Melon Road,Peckham,London,E09000028,Southwark,,E05011110,Peckham,,-0.07103817649275285,51.473594396262285,534066.7934380342,176723.12224428827,08/25/2019
Blues Kitchen,40 Acre Lane,Brixton,,E09000022,Lambeth,,E05000421,Ferndale,,-0.12041312354054397,51.460313880106504,530675.7908535904,175157.11872223648,08/25/2019
Richmal Crompton,23 Westmoreland Place,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01629690684301556,51.39976786491423,540357.7985818967,168677.00453395117,08/25/2019
Partridge,194 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.014278857896156018,51.40520720523722,540200.804844503,169277.99713850307,08/25/2019
Bar Sport,196-198 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.014278857896156018,51.40520720523722,540200.804844503,169277.99713850307,08/25/2019
Havet,195-199 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.013886947222984123,51.406104225009244,540170.8067616532,169376.9963220558,08/25/2019
Greyhound,205 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01314047451553142,51.40645877028565,540117.8082150007,169414.9952815753,08/25/2019
Star & Garter,227 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01247096090046672,51.406928896364995,540069.8097808678,169465.99429881724,08/25/2019
Swan & Mitre,260-262 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01199366693556537,51.40686514494168,540036.8102366037,169457.99374278297,08/25/2019
Metropolis,256A High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.01199366693556537,51.40686514494168,540036.8102366037,169457.99374278297,08/25/2019
Barrel & Horn,204-206 High Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.013392133092803118,51.4059688377614,540136.807113732,169360.99576775706,08/25/2019
O'Neill's,27-29 East St,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.015668645357416435,51.40673008533401,540292.8058360156,169449.99832197005,08/25/2019
Railway Tavern,45 East Street,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.016215940017572445,51.40740412928509,540328.8063676842,169525.99876387854,08/25/2019
Belgo,242 The Glades,Bromley,,E09000006,Bromley,,E05000106,Bickley,,0.03563680755826283,51.403732273542275,541690.7862909698,169155.02864068619,08/25/2019
Lord Holmesdale,184 Homesdale Road,Bromley,,E09000006,Bromley,,E05000106,Bickley,,0.03498042062974891,51.399957720379106,541656.7878984947,168734.03339122614,08/25/2019
Oak,206 Widmore Road,Bromley,,E09000006,Bromley,,E05000106,Bickley,,0.03410549519427325,51.405836175942135,541577.7882512731,169386.02399066335,08/25/2019
Crown & Anchor,19 Park Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.02163998300315564,51.40812908453971,540703.8019802592,169617.00540798792,08/25/2019
Freelands Tavern,31 Freelands Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.024611251062558136,51.41061380480179,540902.8044376931,169899.0095876045,08/25/2019
White Horse,64 Palace Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.020894229954613586,51.408825391898354,540649.8036277682,169693.00403949153,08/25/2019
Anglesey Arms,90 Palace Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.020894229954613586,51.408825391898354,540649.8036277682,169693.00403949153,08/25/2019
Red Lion,10 North Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.021879749219563243,51.40997747824189,540714.8056259081,169823.00597752281,08/25/2019
Hop & Rye,54 London Road,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.009769752545266725,51.411561599340594,539867.8220634037,169975.99442071555,08/25/2019
Prince Frederick,31 Nichol Lane,Bromley,,E09000006,Bromley,,E05000125,Plaistow and Sundridge,,0.01930155689445569,51.415750381394155,540517.8238213949,170460.00729166012,08/25/2019
Bonnie's,28-30 Bromley Hill,Bromley,Downham,E09000023,Lewisham,,E05000442,Downham,,-0.0016269612308863815,51.42094725762445,539046.8359310953,170998.00637863617,08/25/2019
Downham Tavern,419 Downham Way,Grove Park,Downham,E09000023,Lewisham,,E05000442,Downham,,0.013136172476824224,51.427628268013926,540052.835385805,171769.03143380897,08/25/2019
Shortlands Tavern,5 Station Road,Bromley,,E09000006,Bromley,,E05000109,Bromley Town,,0.0042020939664687154,51.40493023909374,539500.8158656278,169227.98480827158,08/25/2019
Greyhound,Commonside,Keston,,E09000006,Bromley,,E05000108,Bromley Common and Keston,,0.02858458489082019,51.36354958268831,541323.9395046581,164673.15237886336,08/25/2019
Fox Inn,Heathfield Road,Keston,,E09000006,Bromley,,E05000108,Bromley Common and Keston,,0.0273100414787619,51.36135943642731,541241.948560648,164427.15730751312,08/25/2019
Crown Inn,Leaves Green Road,Keston,,E09000006,Bromley,,E05000117,Darwin,,0.030205744068063423,51.34203763494014,541503.0095624535,162284.1794928431,08/25/2019
Kings Arms,Leaves Green Rd,Keston,,E09000006,Bromley,,E05000117,Darwin,,0.029645456210684304,51.33520347685677,541485.0150634408,161523.1531437911,08/25/2019
New Inn,59 Station Approach,Hayes,,E09000006,Bromley,,E05000119,Hayes and Coney Hall,,0.011302069882955979,51.375996372109775,540082.8972830607,166024.08384907956,08/25/2019
Real Ale Way,"55 Station Approach, Hayes",Hayes,,E09000006,Bromley,,E05000119,Hayes and Coney Hall,,0.011535146289121225,51.3763970396319,540097.8955222127,166069.0827419008,08/25/2019
Pie & Pint Bar,6 Bourne Way,Hayes,,E09000006,Bromley,,E05000119,Hayes and Coney Hall,,0.006895637206408839,51.37610784270458,539775.8985682778,166028.0760330229,08/25/2019
George,29 Hayes Street,Hayes,,E09000006,Bromley,,E05000119,Hayes and Coney Hall,,0.01831303028805495,51.37989558609414,540558.878405709,166471.08111505985,08/25/2019
Crooked Billet,286 Southborough Lane,Bromley,,E09000006,Bromley,,E05000108,Bromley Common and Keston,,0.05681240200470426,51.3898737690461,543206.8177984651,167655.09988131712,08/25/2019
